id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset_loader,dataset_view,min_context_size,max_context_size,dataset,dataset_split,feature_set,disable_features,amount_disabled_features,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,align,entrenchment_incf,entrenchment_decf,entrenchment_li,weight_update_strategy,initial_weight,weight_incf,weight_decf,weighted_distribution_distance,switch_condition,switch_conditions_after_n_interactions,stage_parameters,coherence_perspective
1,clevr-shift-1,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:shift,0.01,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
2,clevr-shift-10,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:shift,0.1,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
3,clevr-shift-01,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:shift,0.001,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
4,clevr-noise-1,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:shift,0.01,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
5,clevr-noise-10,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:shift,0.1,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
6,clevr-noise-01,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:shift,0.001,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
7,exoplanets-shift-1,1,1000000,10,:runtime,:shared-views,10,10,exoplanets3,train,exoplanets3,:none,0,:shift,0.01,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
8,exoplanets-shift-10,1,1000000,10,:runtime,:shared-views,10,10,exoplanets3,train,exoplanets3,:none,0,:shift,0.1,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
9,exoplanets-shift-01,1,1000000,10,:runtime,:shared-views,10,10,exoplanets3,train,exoplanets3,:none,0,:shift,0.001,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
10,exoplanets-noise-1,1,1000000,10,:runtime,:shared-views,10,10,exoplanets3,train,exoplanets3,:none,0,:none,0.0,:shift,0.01,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
11,exoplanets-noise-10,1,1000000,10,:runtime,:shared-views,10,10,exoplanets3,train,exoplanets3,:none,0,:none,0.0,:shift,0.1,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
12,exoplanets-noise-01,1,1000000,10,:runtime,:shared-views,10,10,exoplanets3,train,exoplanets3,:none,0,:none,0.0,:shift,0.001,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
13,winery-shift-1,1,1000000,10,:runtime,:shared-views,10,10,winery,train,winery,:none,0,:shift,0.01,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
14,winery-shift-10,1,1000000,10,:runtime,:shared-views,10,10,winery,train,winery,:none,0,:shift,0.1,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
15,winery-shift-01,1,1000000,10,:runtime,:shared-views,10,10,winery,train,winery,:none,0,:shift,0.001,:none,0.0,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
16,winery-noise-1,1,1000000,10,:runtime,:shared-views,10,10,winery,train,winery,:none,0,:none,0.0,:shift,0.01,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
17,winery-noise-10,1,1000000,10,:runtime,:shared-views,10,10,winery,train,winery,:none,0,:none,0.0,:shift,0.1,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
18,winery-noise-01,1,1000000,10,:runtime,:shared-views,10,10,winery,train,winery,:none,0,:none,0.0,:shift,0.001,:random,:random,t,0.1,-0.1,-0.02,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
