id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset,dataset_split,available_channels,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_threshold,slow_threshold,conceptualisation_heuristics,speaker_competitors,hearer_competitors,weight_update_strategy,initial_weight,weight_incf,weight_decf,switch_condition,switch_conditions_after_n_interactions,stage_parameters
1,dinov2-1,1,500000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,100000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
2,dinov2-2,1,500000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,100000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
3,dinov2-3,1,500000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.25,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,100000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
4,dinov2-4,1,500000,10,dinov2,train,:dinov2,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,100000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
5,dinov2-5,1,500000,10,dinov2-50,train,:dinov2-50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,175000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
6,dinov2-6,1,500000,10,dinov2-50,train,:dinov2-50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,175000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
7,dinov2-7,1,500000,10,dinov2-50,train,:dinov2-50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,175000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
8,dinov2-8,1,500000,10,dinov2-50,train,:dinov2-50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,175000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
9,dinov2-9,1,500000,10,dinov2-50,train,:dinov2-50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.2,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,175000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
10,dinov2-10,1,500000,10,dinov2-50,train,:dinov2-50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.2,-0.1,-0.02,0.0,0.51,:heuristic-1,nil,nil,:j-interpolation,0,1,-1,:after-n-interactions,175000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
11,dinov2-11,1,500000,10,dinov2-50,train,:dinov2-50,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.2,-0.1,-0.02,0.0,-0.1,:heuristic-1,nil,nil,:j-interpolation,0,1,-5,:after-n-interactions,175000,(((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy))((:dummy . :dummy)))
