id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset_loader,dataset_view,min_context_size,max_context_size,dataset,dataset_split,feature_set,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_concepts,weight_update_strategy,initial_weight,weight_incf,weight_decf,prototype_distance,switch_condition,switch_conditions_after_n_interactions,stage_parameters
1,neural-1,1,100000,2,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.01,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil
2,neural-2,1,100000,2,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil
3,neural-3,1,100000,2,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.01,-0.02,t,:j-interpolation,0,1,-1,:paper,:none,0,nil
4,neural-4,1,100000,2,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-1,:paper,:none,0,nil
5,neural-5,1,100000,10,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.01,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil
6,neural-6,1,100000,10,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil
7,neural-7,1,100000,10,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.01,-0.02,t,:j-interpolation,0,1,-1,:paper,:none,0,nil
8,neural-8,1,100000,10,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-1,:paper,:none,0,nil
9,neural-9,1,100000,2,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper-wo-ledger,:none,0,nil
10,neural-10,1,100000,2,:runtime,:exclusive-views,10,10,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,train,mscoco-facebook@dinov2-small mscoco-google@vit-base-patch16-224-in21k,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-1,:paper-wo-ledger,:none,0,nil
