id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset,dataset_split,feature_set,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_concepts,weight_update_strategy,initial_weight,weight_incf,weight_decf,switch_condition,switch_conditions_after_n_interactions,stage_parameters,similar_concepts,ledger_use
1,paper-abc,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-abc,t
2,paper-ac,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-ac,t
3,paper-bc,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-bc,t
4,paper-c,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-c,t
5,no-paper-abc,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-abc,nil
6,no-paper-ac,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-ac,nil
7,no-paper-bc,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-bc,nil
8,no-paper-c,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-c,nil
9,paper-abc-ledger,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-abc-ledger,t
10,paper-abc-ledger2,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:none,0,nil,:paper-abc-ledger2,t
