id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset,dataset_split,feature_set,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_concepts,weight_update_strategy,initial_weight,weight_incf,weight_decf,prototype_distance,switch_condition,switch_conditions_after_n_interactions,stage_parameters,n_clusters
1,clusters-10,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,10
2,clusters-20,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,20
3,clusters-30,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,30
4,clusters-50,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,50
5,clusters-70,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,70
6,clusters-100,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,100
7,clusters-200,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,200
8,clusters-300,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,300
9,clusters-500,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,500
10,clusters-700,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,700
11,clusters-1000,1,1000000,10,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,1000
