id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset_loader,dataset_view,min_context_size,max_context_size,dataset,dataset_split,feature_set,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_concepts,weight_update_strategy,initial_weight,weight_incf,weight_decf,prototype_distance,switch_condition,switch_conditions_after_n_interactions,stage_parameters,coherence_perspective
1,clevr,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
2,cogent,1,1000000,10,:precomputed,:shared-views,nil,nil,cogent,traina,cogent,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
3,winery,1,1000000,10,:precomputed,:shared-views,nil,nil,winery,train,winery,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
4,credit,1,1000000,10,:precomputed,:shared-views,nil,nil,credit,train,credit,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
5,defect-1,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:after-n-interactions,500000,(((:switch-disable-channels-half . 1))),:hearer
6,defect-10,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:after-n-interactions,500000,(((:switch-disable-channels-half . 10))),:hearer
7,hetero-1,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:random,1,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
8,hetero-10,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:random,10,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
9,continual-cl-wi,1,2000000,10,:precomputed,:shared-views,nil,nil,clevr,train,all,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:after-n-interactions,1000000,(((:switch-dataset . winery)(:switch-dataset-split . train) (:switch-scene-sampling . :random) (:switch-topic-sampling . :random)(:switch-feature-set . all))),:hearer
10,homo-1,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:fixed,1,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
11,homo-10,1,1000000,10,:precomputed,:shared-views,nil,nil,clevr,train,clevr,:fixed,10,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,:hearer
