"country","population","density","size"
"China","1440297825","153","9388211"
"India","1382345085","464","2973190"
"United States","331341050","36","9147420"
"Indonesia","274021604","151","1811570"
"Pakistan","221612785","287","770880"
"Brazil","212821986","25","8358140"
"Nigeria","206984347","226","910770"
"Bangladesh","164972348","1265","130170"
"Russia","145945524","9","16376870"
"Mexico","129166028","66","1943950"
"Japan","126407422","347","364555"
"Ethiopia","115434444","115","1000000"
"Philippines","109830324","368","298170"
"Egypt","102659126","103","995450"
"Vietnam","97490013","314","310070"
"DR Congo","90003954","40","2267050"
"Turkey","84495243","110","769630"
"Iran","84176929","52","1628550"
"Germany","83830972","240","348560"
"Thailand","69830779","137","510890"
"United Kingdom","67948282","281","241930"
"France","65298930","119","547557"
"Italy","60446035","206","294140"
"Tanzania","60012400","67","885800"
"South Africa","59436725","49","1213090"
"Myanmar","54473253","83","653290"
"Kenya","53968739","94","569140"
"South Korea","51276977","527","97230"
"Colombia","50976248","46","1109500"
"Spain","46757980","94","498800"
"Uganda","45974931","229","199810"
"Argentina","45267449","17","2736690"
"Algeria","43984569","18","2381740"
"Sudan","44019263","25","1765048"
"Ukraine","43686577","75","579320"
"Iraq","40372771","93","434320"
"Afghanistan","39074280","60","652860"
"Poland","37839255","124","306230"
"Canada","37799407","4","9093510"
"Morocco","36985624","83","446300"
"Saudi Arabia","34905942","16","2149690"
"Uzbekistan","33551824","79","425400"
"Peru","33050211","26","1280000"
"Angola","33032075","26","1246700"
"Malaysia","32436963","99","328550"
"Mozambique","31398811","40","786380"
"Ghana","31181428","137","227540"
"Yemen","29935468","56","527970"
"Nepal","29225196","203","143350"
"Venezuela","28421581","32","882050"
"Madagascar","27808395","48","581795"
"Cameroon","26655083","56","472710"
"Côte d'Ivoire","26486282","83","318000"
"North Korea","25798588","214","120410"
"Australia","25550683","3","7682300"
"Niger","24346468","19","1266700"
"Taiwan","23824369","673","35410"
"Sri Lanka","21428970","341","62710"
"Burkina Faso","20997293","76","273600"
"Mali","20346106","17","1220190"
"Romania","19214608","84","230170"
"Malawi","19211425","203","94280"
"Chile","19144605","26","743532"
"Kazakhstan","18815231","7","2699700"
"Zambia","18468257","25","743390"
"Guatemala","17971382","167","107160"
"Ecuador","17688599","71","248360"
"Syria","17571053","95","183630"
"Netherlands","17141544","508","33720"
"Senegal","16816539","87","192530"
"Cambodia","16758448","95","176520"
"Chad","16502877","13","1259200"
"Somalia","15965848","25","627340"
"Zimbabwe","14899771","38","386850"
"Guinea","13191279","53","245720"
"Rwanda","13005303","525","24670"
"Benin","12175480","108","112760"
"Burundi","11948454","463","25680"
"Tunisia","11839918","76","155360"
"Bolivia","11700207","11","1083300"
"Belgium","11598451","383","30280"
"Haiti","11426356","414","27560"
"Cuba","11325391","106","106440"
"South Sudan","11216250","18","610952"
"Dominican Republic","10866667","225","48320"
"Czech Republic (Czechia)","10712481","139","77240"
"Greece","10413936","81","128900"
"Jordan","10220604","115","88780"
"Portugal","10191409","111","91590"
"Azerbaijan","10154978","123","82658"
"Sweden","10110233","25","410340"
"Honduras","9931333","89","111890"
"United Arab Emirates","9910892","118","83600"
"Hungary","9655983","107","90530"
"Tajikistan","9573310","68","139960"
"Belarus","9448772","47","202910"
"Austria","9015361","109","82409"
"Papua New Guinea","8975531","20","452860"
"Serbia","8731081","100","87460"
"Israel","8678517","400","21640"
"Switzerland","8665615","219","39516"
"Togo","8310934","152","54390"
"Sierra Leone","8004158","111","72180"
"Hong Kong","7507523","7140","1050"
"Laos","7293542","32","230800"
"Paraguay","7147553","18","397300"
"Bulgaria","6939018","64","108560"
"Libya","6887247","4","1759540"
"Lebanon","6819976","667","10230"
"Nicaragua","6638075","55","120340"
"Kyrgyzstan","6542426","34","191800"
"El Salvador","6491923","313","20720"
"Turkmenistan","6046292","13","469930"
"Singapore","5858322","8358","700"
"Denmark","5795780","137","42430"
"Finland","5542237","18","303890"
"Congo","5540555","16","341500"
"Slovakia","5460109","114","48088"
"Norway","5428594","15","365268"
"Oman","5128058","16","309500"
"State of Palestine","5121112","847","6020"
