Name,map,image,length[km],basin size[㎢],Region / Country,source of river,detail
Nile,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1273/Nile.png,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1443/Nile.jpg,6650,2870000,Lake Victoria,Africa,
Amazon River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1274/800px-Amazonriverbasin_basemap.png,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1447/amazon-river.png,6516,7050000,"Río Apurimac, Mismi Peak",South America,
Yangtze,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1275/%E9%95%B7%E6%B1%9F.jpg,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1449/%E9%95%B7%E6%B1%9F.png,6300,1175000,China,Dam Qu,
Mississippi River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1239/Mississippi.png,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1413/Mississippi_River.jpg,5971,3250000,North America,Lake Itasca,
Ob,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1271/Ob.jpg,"",5570,2430000,Russia,Katun,
Yenisey,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1240/Yenisei.jpg,"",5550,2700000,"Mongolia, Russia",Mungaragiyn-Gol,
Yellow River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1241/%E9%BB%84%E6%B2%B3.png,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1448/Yellow_River.jpg,4667,745000,China,Bayan Har Mountains,
Lena,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1242/Lena.png,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1415/Lena.jpg,4400,2420000,Russia,"Baikal Mountains, Irkutsk Oblast",
Congo River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1243/congo_river.png,"",4371,3680000,Africa,Lualaba River,
Amur,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1244/Amur.jpg,"",4368,1855000,"	
Russia/China",,
Mackenzie River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1272/MackenzieRiver.jpg,"",4241,1790000,Canada,Great Slave Lake,
Niger River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1245/Niger_River.png,"",4167,1200000,Africa,Guinea Highlands,
Mekong,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1246/mekong-river-map.jpg,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1419/2017-11-30_150647.jpg,4123,810000,Southeast Asia,Lasaigongma (拉赛贡玛) Spring,
Paraná River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1247/parana_river.png,"",3998,3100000,South America,Paranaíba River,
Volga,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1248/Volga.jpg,"",3645,1380000,Eastern Europe,,
Murray River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1249/longest-river-in-australia.png,"",3620,910000,Australia,,
Shatt al-Arab,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1250/880px-Tigr-euph.png,"",3596,884000,"Iraq, Iran",,
Yukon River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1251/yukon-river-e1559774353685.jpeg,"",3184,850000,United StatesCanada,,
Indus River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1252/Map-of-the-Indus-River.jpg,"",3180,960000,"China, India, Pakistan",,
São Francisco River,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1253/Sao.png,https://mirecord-production.s3.amazonaws.com/uploads/meta_image_cell/image_value/1426/960px-Canind%C3%A9_de_S%C3%A3o_Francisco-002.jpg,3180,610000,Brazil,,
Syr Darya,"","",3078,100000,Central Asia,Tianshan Mountains,
Salween River,"","",3060,324000,"China, Myanmar, Thailand",Tanggula Mountains,
St. Lawrence River,"","",3058,1030000,"Canada, United States",Lake Ontario,
Rio Grande,"","",3057,570000,"United States, Mexico",,
Brahmaputra River,"","",2948,1730000,"China, India, Bangladesh",,
Danube,"","",2850,817000,Europe,Breg,
Tocantins River,"","",2699,1400000,Brazil,,
Zambezi,"","",2693,1330000,Africa,,
Nelson River,"","",2570,1093000,Canada,,
Ural,"","",2428,237000,"Kazakhstan, Russia",Ural Mountains,
Arkansas River,"","",2348,505000,United States,,
Colorado River,"","",2333,390000,United States,La Poudre Pass Lake,
Dnieper,"","",2287,516300,"Russia, Belarus, Ukraine",,
Irrawaddy River,"","",2170,411000,Myanmar,,
Xi River,"","",2130,437000,China,,
Ohio River,"","",2102,490603,United States,,
Orinoco,"","",2101,41000,"	
Colombia, Venezuela",,
