investor	((PERSON P) (INVEST-01 I) (:ARG0-OF P I)) 
Zintan	((CITY C) (NAME N) (:NAME C N) (:OP1 N "Zintan"))
bond investor	((PERSON P) (INVEST-01 I) (BOND B) (:ARG0-OF P I) (:ARG1 I B)) 
small investor	((PERSON P) (INVEST-01 I) (SMALL S) (:ARG0-OF P I) (:MANNER I S))
atomic bomb	((BOMB B) (ATOM A) (:MOD B A)) 
atom bomb	((BOMB B) (ATOM A) (:MOD B A)) 
Mollie Brown	((PERSON P) (NAME N) (:NAME P N) (:OP1 N "Mollie") (:OP2 N "Brown"))
President Obama	((PRESIDENT P) (NAME N) (:NAME P N) (:OP1 N "Obama"))
history teacher	((PERSON P) (TEACH-01 T) (HISTORY H) (:ARG0-OF P T) (:ARG1 T H)) 
history professor	((PERSON P) (TEACH-01 T) (HISTORY H) (:ARG0-OF P T) (:ARG1 T H)) 
Obama , the president	((PRESIDENT P) (NAME N) (:NAME P N) (:OP1 N "Obama"))
the attractive spy	((SPY S) (ATTRACT-01 A) (:ARG0-OF S A))
an edible sandwich	((SANDWICH S) (EAT-01 E) (POSSIBLE P) (:ARG1-OF S E) (:DOMAIN-OF E P))
a taxable fund	((FUND F) (TAX-01 T) (:ARG1-OF F T)) 
the city of Zintan	((CITY C) (NAME N) (:NAME C N) (:OP1 N "Zintan"))
the boy cannot go	((POSSIBLE P) (GO-01 G) (BOY B) (:DOMAIN P G) (:POLARITY P -) (:ARG0 G B))
what the girl opined	((THING T) (OPINE-01 O) (GIRL G) (:ARG1-OF T O) (:ARG0 O G)) 
the girl 's opinion	((THING T) (OPINE-01 O) (GIRL G) (:ARG1-OF T O) (:ARG0 O G)) 
the marble is white	((WHITE W) (MARBLE M) (:DOMAIN W M)) 
pleasing girls is tough	((TOUGH T) (PLEASE-01 P) (GIRL G) (:DOMAIN T P) (:ARG1 P G)) 
the boy works hard	((WORK-01 W) (BOY B) (HARD H) (:ARG0 W B) (:MANNER W H)) 
the soldier feared battle	((FEAR-01 F) (SOLDIER S) (BATTLE-01 B) (:ARG0 F S) (:ARG1 F B))
the comment is inappropriate	((APPROPRIATE A) (COMMENT C) (:DOMAIN A C) (:POLARITY A -))
the opinion of the girl		((THING T) (OPINE-01 O) (GIRL G) (:ARG1-OF T O) (:ARG0 O G))
Mollie Brown , who slew orcs		((PERSON P) (NAME N) (SLAY-01 S) (ORC O) (:NAME P N) (:ARG0-OF P S) (:OP1 N "Mollie") (:OP2 N "Brown") (:ARG1 S O))
the orc-slaying Mollie Brown		((PERSON P) (NAME N) (SLAY-01 S) (ORC O) (:NAME P N) (:ARG0-OF P S) (:OP1 N "Mollie") (:OP2 N "Brown") (:ARG1 S O))
